#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                 mt_sequence.bin|  4.95e+06  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.00108276|   WEAK   
      rgb_lagged_sum|  21|   1000000|     100|0.26011481|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.00113526|   WEAK   
      rgb_lagged_sum|  23|   1000000|     100|0.00000001|  FAILED  
      rgb_lagged_sum|  24|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  25|   1000000|     100|0.00000371|   WEAK   
      rgb_lagged_sum|  26|   1000000|     100|0.00000029|  FAILED  
      rgb_lagged_sum|  27|   1000000|     100|0.00000109|   WEAK   
      rgb_lagged_sum|  28|   1000000|     100|0.00635521|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  30|   1000000|     100|0.01931515|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.00000000|  FAILED  
      rgb_lagged_sum|  32|   1000000|     100|0.00120007|   WEAK   
     rgb_kstest_test|   0|     10000|    1000|0.34457032|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.00000000|  FAILED  
             dab_dct| 256|     50000|       1|0.78489598|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.30013538|  PASSED  
        dab_filltree|  32|  15000000|       1|0.58143030|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.34912167|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.87409950|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  
